tmin,tmax,nbins,tau,etau,dev_over_ndf,rms_rD,,,tmin,tmax,nbins,tau,etau,dev_over_ndf,rms_rD
"0,4",10,150,"1,909","0,037","1,7","1,3",,,"1,2",10,150,"2,038","0,058","1,1","1,0"
"0,4",10,200,"1,910","0,037","1,6","1,2",,,"1,2",10,200,"2,037","0,058","1,1","1,0"
"0,4",10,250,"1,910","0,037","1,5","1,2",,,"1,2",10,250,"2,037","0,058","1,2","1,1"
"0,4",10,300,"1,910","0,037","1,6","1,3",,,"1,2",10,300,"2,038","0,058","1,1","1,0"
"0,4",10,400,"1,910","0,037","1,3","1,1",,,"1,2",10,400,"2,041","0,058","1,5","1,2"
"0,4",10,500,"1,910","0,037","1,3","1,1",,,"1,2",10,500,"2,037","0,058","1,4","1,2"
"0,4",10,1000,"1,910","0,037","1,3","1,1",,,"1,2",10,1000,"2,037","0,058","1,6","1,3"
"0,4",12,150,"1,939","0,033","1,6","1,2",,,"1,2",12,150,"2,053","0,050","1,2","1,1"
"0,4",12,200,"1,937","0,033","1,5","1,2",,,"1,2",12,200,"2,055","0,050","1,1","1,0"
"0,4",12,250,"1,938","0,033","1,6","1,3",,,"1,2",12,250,"2,054","0,050","1,3","1,1"
"0,4",12,300,"1,939","0,033","1,4","1,2",,,"1,2",12,300,"2,054","0,050","1,2","1,1"
"0,4",12,400,"1,938","0,033","1,3","1,1",,,"1,2",12,400,"2,053","0,050","1,3","1,1"
"0,4",12,500,"1,938","0,033","1,5","1,2",,,"1,2",12,500,"2,054","0,050","1,4","1,2"
"0,4",12,1000,"1,938","0,033","1,7","1,3",,,"1,2",12,1000,"2,054","0,050","1,5","1,2"
"0,4",15,150,"1,955","0,030","1,5","1,2",,,"1,2",15,150,"2,060","0,043","1,4","1,2"
"0,4",15,200,"1,956","0,030","1,5","1,2",,,"1,2",15,200,"2,058","0,043","1,2","1,1"
"0,4",15,250,"1,955","0,030","1,4","1,2",,,"1,2",15,250,"2,058","0,043","1,3","1,1"
"0,4",15,300,"1,955","0,030","1,4","1,2",,,"1,2",15,300,"2,059","0,043","1,2","1,1"
"0,4",15,400,"1,956","0,030","1,5","1,2",,,"1,2",15,400,"2,059","0,043","1,3","1,1"
"0,4",15,500,"1,956","0,030","1,3","1,1",,,"1,2",15,500,"2,059","0,043","1,4","1,2"
"0,4",15,1000,"1,956","0,030","1,2","1,1",,,"1,2",15,1000,"2,059","0,043","1,4","1,2"
"0,4",17,150,"1,954","0,029","1,7","1,3",,,"1,2",17,150,"2,048","0,040","1,4","1,2"
"0,4",17,200,"1,954","0,029","1,3","1,1",,,"1,2",17,200,"2,047","0,040","1,1","1,0"
"0,4",17,250,"1,955","0,029","1,6","1,3",,,"1,2",17,250,"2,048","0,040","1,2","1,1"
"0,4",17,300,"1,954","0,029","1,5","1,2",,,"1,2",17,300,"2,048","0,040","1,2","1,1"
"0,4",17,400,"1,954","0,029","1,5","1,2",,,"1,2",17,400,"2,048","0,040","1,1","1,0"
"0,4",17,500,"1,955","0,029","1,4","1,2",,,"1,2",17,500,"2,047","0,040","1,3","1,1"
"0,4",17,1000,"1,954","0,029","1,5","1,2",,,"1,2",17,1000,"2,048","0,040","1,2","1,1"
"0,4",18,150,"1,951","0,028","1,6","1,2",,,"1,2",18,150,"2,037","0,039","1,1","1,0"
"0,4",18,200,"1,950","0,028","1,4","1,2",,,"1,2",18,200,"2,037","0,039","1,3","1,1"
"0,4",18,250,"1,948","0,028","1,4","1,2",,,"1,2",18,250,"2,036","0,039","1,1","1,1"
"0,4",18,300,"1,951","0,028","1,4","1,2",,,"1,2",18,300,"2,037","0,039","1,2","1,1"
"0,4",18,400,"1,951","0,028","1,3","1,1",,,"1,2",18,400,"2,037","0,039","1,2","1,1"
"0,4",18,500,"1,948","0,028","1,2","1,1",,,"1,2",18,500,"2,036","0,039","1,1","1,0"
"0,4",18,1000,"1,948","0,028","1,3","1,1",,,"1,2",18,1000,"2,036","0,039","1,3","1,2"
"0,4",19,150,"1,956","0,028","1,6","1,3",,,"1,2",19,150,"2,047","0,039","1,3","1,1"
"0,4",19,200,"1,956","0,028","1,4","1,2",,,"1,2",19,200,"2,044","0,039","1,2","1,1"
"0,4",19,250,"1,955","0,028","1,4","1,2",,,"1,2",19,250,"2,044","0,039","1,2","1,1"
"0,4",19,300,"1,955","0,028","1,3","1,1",,,"1,2",19,300,"2,045","0,039","1,1","1,1"
"0,4",19,400,"1,956","0,028","1,4","1,2",,,"1,2",19,400,"2,044","0,039","1,1","1,1"
"0,4",19,500,"1,955","0,028","1,3","1,1",,,"1,2",19,500,"2,044","0,039","1,2","1,1"
"0,4",19,1000,"1,955","0,028","1,4","1,2",,,"1,2",19,1000,"2,044","0,039","1,3","1,1"
"0,4",20,150,"1,996","0,028","2,4","1,5",,,"1,2",20,150,"2,104","0,040","1,8","1,3"
"0,4",20,200,"1,993","0,028","2,0","1,4",,,"1,2",20,200,"2,103","0,040","1,6","1,2"
"0,4",20,250,"1,994","0,028","1,8","1,3",,,"1,2",20,250,"2,102","0,040","1,7","1,3"
"0,4",20,300,"1,994","0,028","1,8","1,3",,,"1,2",20,300,"2,102","0,040","1,5","1,2"
"0,4",20,400,"1,993","0,028","1,6","1,2",,,"1,2",20,400,"2,102","0,040","1,3","1,1"
"0,4",20,500,"1,993","0,028","1,5","1,2",,,"1,2",20,500,"2,102","0,040","1,4","1,2"
"0,4",20,1000,"1,994","0,028","1,2","1,1",,,"1,2",20,1000,"2,102","0,040","1,3","1,1"
"0,6",10,150,"1,961","0,042","1,3","1,1",,,"1,4",10,150,"2,019","0,062","1,2","1,1"
"0,6",10,200,"1,961","0,042","1,5","1,2",,,"1,4",10,200,"2,019","0,062","1,2","1,1"
"0,6",10,250,"1,961","0,042","1,4","1,2",,,"1,4",10,250,"2,020","0,062","1,1","1,0"
"0,6",10,300,"1,961","0,042","1,5","1,2",,,"1,4",10,300,"2,019","0,062","1,2","1,1"
"0,6",10,400,"1,961","0,042","1,4","1,2",,,"1,4",10,400,"2,020","0,062","1,4","1,2"
"0,6",10,500,"1,961","0,042","1,4","1,2",,,"1,4",10,500,"2,020","0,062","1,5","1,2"
"0,6",10,1000,"1,961","0,042","1,5","1,2",,,"1,4",10,1000,"2,020","0,062","1,7","1,3"
"0,6",12,150,"1,984","0,037","1,5","1,2",,,"1,4",12,150,"2,039","0,053","1,2","1,1"
"0,6",12,200,"1,985","0,037","1,4","1,2",,,"1,4",12,200,"2,040","0,053","1,2","1,1"
"0,6",12,250,"1,984","0,037","1,4","1,2",,,"1,4",12,250,"2,039","0,053","1,2","1,1"
"0,6",12,300,"1,984","0,037","1,4","1,2",,,"1,4",12,300,"2,040","0,053","1,2","1,1"
"0,6",12,400,"1,984","0,037","1,3","1,2",,,"1,4",12,400,"2,040","0,053","1,3","1,1"
"0,6",12,500,"1,984","0,037","1,4","1,2",,,"1,4",12,500,"2,039","0,053","1,4","1,2"
"0,6",12,1000,"1,984","0,037","1,7","1,3",,,"1,4",12,1000,"2,040","0,053","1,4","1,2"
"0,6",15,150,"1,999","0,033","1,4","1,2",,,"1,4",15,150,"2,050","0,046","1,2","1,1"
"0,6",15,200,"1,998","0,033","1,3","1,1",,,"1,4",15,200,"2,048","0,046","1,1","1,0"
"0,6",15,250,"1,998","0,033","1,3","1,1",,,"1,4",15,250,"2,048","0,046","1,2","1,1"
"0,6",15,300,"1,998","0,033","1,3","1,2",,,"1,4",15,300,"2,048","0,046","1,2","1,1"
"0,6",15,400,"1,998","0,033","1,5","1,2",,,"1,4",15,400,"2,048","0,046","1,1","1,1"
"0,6",15,500,"1,998","0,033","1,2","1,1",,,"1,4",15,500,"2,048","0,046","1,2","1,1"
"0,6",15,1000,"1,998","0,033","1,2","1,1",,,"1,4",15,1000,"2,048","0,046","1,2","1,1"
"0,6",17,150,"1,992","0,032","1,5","1,2",,,"1,4",17,150,"2,036","0,043","1,2","1,1"
"0,6",17,200,"1,992","0,032","1,3","1,1",,,"1,4",17,200,"2,036","0,043","1,0","1,0"
"0,6",17,250,"1,994","0,032","1,2","1,1",,,"1,4",17,250,"2,036","0,043","1,1","1,1"
"0,6",17,300,"1,993","0,032","1,2","1,1",,,"1,4",17,300,"2,036","0,043","1,2","1,1"
"0,6",17,400,"1,993","0,032","1,3","1,1",,,"1,4",17,400,"2,036","0,043","1,1","1,0"
"0,6",17,500,"1,993","0,032","1,2","1,1",,,"1,4",17,500,"2,036","0,043","1,3","1,1"
"0,6",17,1000,"1,993","0,032","1,4","1,2",,,"1,4",17,1000,"2,036","0,043","1,2","1,1"
"0,6",18,150,"1,985","0,031","1,3","1,1",,,"1,4",18,150,"2,023","0,042","1,3","1,1"
"0,6",18,200,"1,986","0,031","1,3","1,1",,,"1,4",18,200,"2,021","0,042","1,0","1,0"
"0,6",18,250,"1,986","0,031","1,2","1,1",,,"1,4",18,250,"2,024","0,042","1,2","1,1"
"0,6",18,300,"1,986","0,031","1,2","1,1",,,"1,4",18,300,"2,024","0,042","1,2","1,1"
"0,6",18,400,"1,986","0,031","1,2","1,1",,,"1,4",18,400,"2,023","0,042","1,2","1,1"
"0,6",18,500,"1,986","0,031","1,1","1,1",,,"1,4",18,500,"2,024","0,042","1,2","1,1"
"0,6",18,1000,"1,986","0,031","1,4","1,2",,,"1,4",18,1000,"2,024","0,042","1,3","1,1"
"0,6",19,150,"1,993","0,031","1,3","1,1",,,"1,4",19,150,"2,031","0,042","1,1","1,1"
"0,6",19,200,"1,994","0,031","1,2","1,1",,,"1,4",19,200,"2,032","0,042","1,1","1,0"
"0,6",19,250,"1,993","0,031","1,3","1,1",,,"1,4",19,250,"2,034","0,042","1,3","1,1"
"0,6",19,300,"1,993","0,031","1,3","1,1",,,"1,4",19,300,"2,032","0,042","1,2","1,1"
"0,6",19,400,"1,993","0,031","1,2","1,1",,,"1,4",19,400,"2,031","0,042","1,1","1,1"
"0,6",19,500,"1,993","0,031","1,3","1,2",,,"1,4",19,500,"2,034","0,042","1,2","1,1"
"0,6",19,1000,"1,993","0,031","1,3","1,1",,,"1,4",19,1000,"2,034","0,042","1,3","1,1"
"0,6",20,150,"2,035","0,031","2,2","1,5",,,"1,4",20,150,"2,097","0,043","1,9","1,4"
"0,6",20,200,"2,036","0,031","1,8","1,3",,,"1,4",20,200,"2,097","0,043","1,6","1,3"
"0,6",20,250,"2,036","0,031","1,7","1,3",,,"1,4",20,250,"2,096","0,043","1,6","1,3"
"0,6",20,300,"2,036","0,031","1,6","1,3",,,"1,4",20,300,"2,097","0,043","1,5","1,2"
"0,6",20,400,"2,035","0,031","1,5","1,2",,,"1,4",20,400,"2,096","0,043","1,4","1,2"
"0,6",20,500,"2,036","0,031","1,3","1,2",,,"1,4",20,500,"2,096","0,043","1,4","1,2"
"0,6",20,1000,"2,036","0,031","1,2","1,1",,,"1,4",20,1000,"2,096","0,043","1,3","1,1"
"0,8",10,150,"2,049","0,049","1,2","1,1",,,"1,6",10,150,"2,016","0,068","1,2","1,1"
"0,8",10,200,"2,049","0,049","1,2","1,1",,,"1,6",10,200,"2,016","0,068","1,3","1,1"
"0,8",10,250,"2,048","0,049","1,4","1,2",,,"1,6",10,250,"2,016","0,068","1,2","1,1"
"0,8",10,300,"2,049","0,049","1,2","1,1",,,"1,6",10,300,"2,017","0,068","1,1","1,1"
"0,8",10,400,"2,048","0,049","1,4","1,2",,,"1,6",10,400,"2,017","0,068","1,4","1,2"
"0,8",10,500,"2,048","0,049","1,4","1,2",,,"1,6",10,500,"2,016","0,068","1,3","1,1"
"0,8",10,1000,"2,048","0,049","1,5","1,2",,,"1,6",10,1000,"2,016","0,068","1,7","1,3"
"0,8",12,150,"2,060","0,043","1,3","1,1",,,"1,6",12,150,"2,039","0,058","1,2","1,1"
"0,8",12,200,"2,060","0,043","1,3","1,2",,,"1,6",12,200,"2,039","0,058","1,3","1,1"
"0,8",12,250,"2,059","0,043","1,2","1,1",,,"1,6",12,250,"2,039","0,058","1,3","1,1"
"0,8",12,300,"2,059","0,043","1,3","1,1",,,"1,6",12,300,"2,039","0,058","1,3","1,1"
"0,8",12,400,"2,059","0,043","1,4","1,2",,,"1,6",12,400,"2,039","0,058","1,2","1,1"
"0,8",12,500,"2,059","0,043","1,3","1,2",,,"1,6",12,500,"2,039","0,058","1,3","1,1"
"0,8",12,1000,"2,059","0,043","1,5","1,2",,,"1,6",12,1000,"2,039","0,058","1,3","1,1"
"0,8",15,150,"2,063","0,037","1,2","1,1",,,"1,6",15,150,"2,048","0,050","1,1","1,1"
"0,8",15,200,"2,062","0,037","1,2","1,1",,,"1,6",15,200,"2,048","0,050","1,1","1,1"
"0,8",15,250,"2,063","0,037","1,2","1,1",,,"1,6",15,250,"2,048","0,050","1,1","1,0"
"0,8",15,300,"2,062","0,037","1,3","1,1",,,"1,6",15,300,"2,047","0,050","1,2","1,1"
"0,8",15,400,"2,063","0,037","1,2","1,1",,,"1,6",15,400,"2,048","0,050","1,2","1,1"
"0,8",15,500,"2,063","0,037","1,2","1,1",,,"1,6",15,500,"2,049","0,050","1,3","1,1"
"0,8",15,1000,"2,063","0,037","1,2","1,1",,,"1,6",15,1000,"2,048","0,050","1,3","1,2"
"0,8",17,150,"2,055","0,035","1,2","1,1",,,"1,6",17,150,"2,033","0,046","1,1","1,1"
"0,8",17,200,"2,053","0,035","1,3","1,1",,,"1,6",17,200,"2,038","0,047","1,2","1,1"
"0,8",17,250,"2,054","0,035","1,2","1,1",,,"1,6",17,250,"2,036","0,046","1,2","1,1"
"0,8",17,300,"2,054","0,035","1,2","1,1",,,"1,6",17,300,"2,035","0,046","1,2","1,1"
"0,8",17,400,"2,053","0,035","1,2","1,1",,,"1,6",17,400,"2,037","0,047","1,1","1,1"
"0,8",17,500,"2,053","0,035","1,2","1,1",,,"1,6",17,500,"2,036","0,046","1,3","1,1"
"0,8",17,1000,"2,053","0,035","1,3","1,1",,,"1,6",17,1000,"2,036","0,046","1,2","1,1"
"0,8",18,150,"2,043","0,034","1,2","1,1",,,"1,6",18,150,"2,021","0,045","1,2","1,1"
"0,8",18,200,"2,044","0,034","1,2","1,1",,,"1,6",18,200,"2,022","0,045","1,1","1,1"
"0,8",18,250,"2,043","0,034","1,2","1,1",,,"1,6",18,250,"2,021","0,045","1,2","1,1"
"0,8",18,300,"2,044","0,034","1,1","1,1",,,"1,6",18,300,"2,022","0,045","1,1","1,1"
"0,8",18,400,"2,043","0,034","1,2","1,1",,,"1,6",18,400,"2,022","0,045","1,2","1,1"
"0,8",18,500,"2,043","0,034","1,1","1,0",,,"1,6",18,500,"2,022","0,045","1,2","1,1"
"0,8",18,1000,"2,043","0,034","1,4","1,2",,,"1,6",18,1000,"2,022","0,045","1,2","1,1"
"0,8",19,150,"2,050","0,034","1,1","1,0",,,"1,6",19,150,"2,035","0,045","1,2","1,1"
"0,8",19,200,"2,050","0,034","1,1","1,0",,,"1,6",19,200,"2,032","0,045","1,2","1,1"
"0,8",19,250,"2,050","0,034","1,0","1,0",,,"1,6",19,250,"2,032","0,045","1,3","1,1"
"0,8",19,300,"2,050","0,034","1,1","1,0",,,"1,6",19,300,"2,033","0,045","1,1","1,0"
"0,8",19,400,"2,050","0,034","1,1","1,0",,,"1,6",19,400,"2,032","0,045","1,1","1,1"
"0,8",19,500,"2,050","0,034","1,3","1,2",,,"1,6",19,500,"2,032","0,045","1,2","1,1"
"0,8",19,1000,"2,050","0,034","1,4","1,2",,,"1,6",19,1000,"2,032","0,045","1,2","1,1"
"0,8",20,150,"2,101","0,035","1,8","1,3",,,"1,6",20,150,"2,102","0,046","1,9","1,4"
"0,8",20,200,"2,099","0,035","1,7","1,3",,,"1,6",20,200,"2,101","0,046","1,7","1,3"
"0,8",20,250,"2,099","0,035","1,6","1,3",,,"1,6",20,250,"2,101","0,046","1,5","1,2"
"0,8",20,300,"2,100","0,035","1,5","1,2",,,"1,6",20,300,"2,103","0,046","1,6","1,3"
"0,8",20,400,"2,099","0,035","1,5","1,2",,,"1,6",20,400,"2,101","0,046","1,4","1,2"
"0,8",20,500,"2,099","0,035","1,3","1,1",,,"1,6",20,500,"2,102","0,046","1,4","1,2"
"0,8",20,1000,"2,099","0,035","1,2","1,1",,,"1,6",20,1000,"2,101","0,046","1,3","1,1"
"1,0",10,150,"2,064","0,054","1,0","1,0",,,,,,,,,
"1,0",10,200,"2,064","0,054","1,1","1,1",,,,,,,,,
"1,0",10,250,"2,064","0,054","1,3","1,1",,,,,,,,,
"1,0",10,300,"2,063","0,054","1,2","1,1",,,,,,,,,
"1,0",10,400,"2,064","0,054","1,5","1,2",,,,,,,,,
"1,0",10,500,"2,063","0,054","1,4","1,2",,,,,,,,,
"1,0",10,1000,"2,063","0,054","1,6","1,3",,,,,,,,,
"1,0",12,150,"2,073","0,046","1,2","1,1",,,,,,,,,
"1,0",12,200,"2,070","0,046","1,2","1,1",,,,,,,,,
"1,0",12,250,"2,073","0,046","1,1","1,1",,,,,,,,,
"1,0",12,300,"2,069","0,046","1,3","1,2",,,,,,,,,
"1,0",12,400,"2,071","0,046","1,3","1,2",,,,,,,,,
"1,0",12,500,"2,069","0,046","1,4","1,2",,,,,,,,,
"1,0",12,1000,"2,071","0,046","1,5","1,2",,,,,,,,,
"1,0",15,150,"2,074","0,040","1,2","1,1",,,,,,,,,
"1,0",15,200,"2,074","0,040","1,1","1,0",,,,,,,,,
"1,0",15,250,"2,074","0,040","1,2","1,1",,,,,,,,,
"1,0",15,300,"2,074","0,040","1,3","1,1",,,,,,,,,
"1,0",15,400,"2,074","0,040","1,1","1,1",,,,,,,,,
"1,0",15,500,"2,074","0,040","1,3","1,2",,,,,,,,,
"1,0",15,1000,"2,074","0,040","1,3","1,1",,,,,,,,,
"1,0",17,150,"2,062","0,038","1,2","1,1",,,,,,,,,
"1,0",17,200,"2,065","0,038","1,2","1,1",,,,,,,,,
"1,0",17,250,"2,064","0,038","1,1","1,0",,,,,,,,,
"1,0",17,300,"2,062","0,038","1,2","1,1",,,,,,,,,
"1,0",17,400,"2,063","0,038","1,1","1,1",,,,,,,,,
"1,0",17,500,"2,063","0,038","1,2","1,1",,,,,,,,,
"1,0",17,1000,"2,063","0,038","1,3","1,1",,,,,,,,,
"1,0",18,150,"2,052","0,037","1,2","1,1",,,,,,,,,
"1,0",18,200,"2,051","0,037","1,0","1,0",,,,,,,,,
"1,0",18,250,"2,051","0,037","1,0","1,0",,,,,,,,,
"1,0",18,300,"2,051","0,037","1,1","1,0",,,,,,,,,
"1,0",18,400,"2,052","0,037","1,1","1,0",,,,,,,,,
"1,0",18,500,"2,052","0,037","1,1","1,0",,,,,,,,,
"1,0",18,1000,"2,052","0,037","1,3","1,1",,,,,,,,,
"1,0",19,150,"2,059","0,037","1,2","1,1",,,,,,,,,
"1,0",19,200,"2,058","0,037","1,1","1,0",,,,,,,,,
"1,0",19,250,"2,059","0,037","1,2","1,1",,,,,,,,,
"1,0",19,300,"2,060","0,037","1,0","1,0",,,,,,,,,
"1,0",19,400,"2,060","0,037","1,1","1,0",,,,,,,,,
"1,0",19,500,"2,059","0,037","1,2","1,1",,,,,,,,,
"1,0",19,1000,"2,059","0,037","1,2","1,1",,,,,,,,,
"1,0",20,150,"2,111","0,038","1,8","1,3",,,,,,,,,
"1,0",20,200,"2,113","0,038","1,7","1,3",,,,,,,,,
"1,0",20,250,"2,113","0,038","1,7","1,3",,,,,,,,,
"1,0",20,300,"2,112","0,038","1,4","1,2",,,,,,,,,
"1,0",20,400,"2,112","0,038","1,4","1,2",,,,,,,,,
"1,0",20,500,"2,113","0,038","1,4","1,2",,,,,,,,,
"1,0",20,1000,"2,113","0,038","1,3","1,1",,,,,,,,,